"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 27 07:44:33 GMT 2023","Fri Jan 27 07:47:34 GMT 2023","180668","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"broken","Fri Jan 27 07:39:16 GMT 2023","Fri Jan 27 07:41:26 GMT 2023","129796","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"broken","Fri Jan 27 08:08:39 GMT 2023","Fri Jan 27 08:11:40 GMT 2023","180760","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""t.me/fojin_tech"" link","
        user can go to all bottom links from the main page
        "
"broken","Fri Jan 27 07:57:41 GMT 2023","Fri Jan 27 07:59:52 GMT 2023","130879","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""contacts"" link","
        user can go to all top links from the main page
        "
"broken","Fri Jan 27 07:53:42 GMT 2023","Fri Jan 27 07:55:52 GMT 2023","129740","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"broken","Fri Jan 27 07:47:37 GMT 2023","Fri Jan 27 07:50:37 GMT 2023","180608","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"broken","Fri Jan 27 07:15:37 GMT 2023","Fri Jan 27 07:17:48 GMT 2023","131190","ui_tests","test_cases_page","TestCasesPage","","","User can see the 1 case","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Fri Jan 27 07:41:55 GMT 2023","Fri Jan 27 07:44:56 GMT 2023","180659","ui_tests","test_cases_page","TestCasesPage","","","User can see the 7 case","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Fri Jan 27 07:53:15 GMT 2023","Fri Jan 27 07:55:25 GMT 2023","130131","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"broken","Fri Jan 27 07:41:29 GMT 2023","Fri Jan 27 07:44:30 GMT 2023","180658","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"broken","Fri Jan 27 08:02:56 GMT 2023","Fri Jan 27 08:02:56 GMT 2023","0","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""cases"" link","
        user can go to all top links from the main page
        "
"broken","Fri Jan 27 08:05:35 GMT 2023","Fri Jan 27 08:08:36 GMT 2023","180755","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""policy"" link","
        user can go to all bottom links from the main page
        "
"broken","Fri Jan 27 07:32:45 GMT 2023","Fri Jan 27 07:35:45 GMT 2023","180590","ui_tests","test_cases_page","TestCasesPage","","","User can see the 4 case","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Fri Jan 27 07:59:54 GMT 2023","Fri Jan 27 08:02:55 GMT 2023","180698","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"broken","Fri Jan 27 07:55:54 GMT 2023","Fri Jan 27 07:58:05 GMT 2023","130898","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"broken","Fri Jan 27 07:58:06 GMT 2023","Fri Jan 27 08:00:16 GMT 2023","129839","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""cases"" link","
        user can go to all top links from the main page
        "
"broken","Fri Jan 27 07:38:52 GMT 2023","Fri Jan 27 07:41:52 GMT 2023","180704","ui_tests","test_cases_page","TestCasesPage","","","User can see the 6 case","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Fri Jan 27 07:34:54 GMT 2023","Fri Jan 27 07:37:03 GMT 2023","129822","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
