"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 08:27:03 GMT 2023","Tue Jan 17 08:27:13 GMT 2023","9864","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""vk.com/fojin"" link","
        user can go to all bottom links from the main page
        "
"passed","Tue Jan 17 08:26:58 GMT 2023","Tue Jan 17 08:27:02 GMT 2023","4516","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""policy"" link","
        user can go to all bottom links from the main page
        "
"passed","Tue Jan 17 08:26:42 GMT 2023","Tue Jan 17 08:26:44 GMT 2023","2415","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""about-us"" link","
        user can go to all top links from the main page
        "
"passed","Tue Jan 17 08:25:34 GMT 2023","Tue Jan 17 08:25:37 GMT 2023","3370","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Tue Jan 17 08:24:46 GMT 2023","Tue Jan 17 08:24:49 GMT 2023","2873","ui_tests","test_cases_page","TestCasesPage","","","User can see the 2 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:25:40 GMT 2023","Tue Jan 17 08:25:44 GMT 2023","3356","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"failed","Tue Jan 17 08:25:09 GMT 2023","Tue Jan 17 08:25:18 GMT 2023","8751","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends a correct data into the form","User is scrolling to the bottom and sends correct data"
"passed","Tue Jan 17 08:24:54 GMT 2023","Tue Jan 17 08:24:56 GMT 2023","2782","ui_tests","test_cases_page","TestCasesPage","","","User can see the 9 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:27:16 GMT 2023","Tue Jan 17 08:27:19 GMT 2023","2719","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""policy"" link","
        user can go to all bottom links from the main page
        "
"passed","Tue Jan 17 08:24:41 GMT 2023","Tue Jan 17 08:24:45 GMT 2023","3777","ui_tests","test_cases_page","TestCasesPage","","","User can see the 1 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:25:20 GMT 2023","Tue Jan 17 08:25:24 GMT 2023","3993","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Tue Jan 17 08:25:25 GMT 2023","Tue Jan 17 08:25:28 GMT 2023","3565","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"failed","Tue Jan 17 08:25:21 GMT 2023","Tue Jan 17 08:25:28 GMT 2023","7364","ui_tests","test_cases_page","TestCasesPage","","","User can see the 2 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:26:24 GMT 2023","Tue Jan 17 08:26:28 GMT 2023","3745","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""cases"" link","
        user can go to all top links from the main page
        "
"passed","Tue Jan 17 08:24:57 GMT 2023","Tue Jan 17 08:25:00 GMT 2023","2696","ui_tests","test_cases_page","TestCasesPage","","","User can see the 5 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:24:49 GMT 2023","Tue Jan 17 08:24:52 GMT 2023","2918","ui_tests","test_cases_page","TestCasesPage","","","User can see the 8 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Tue Jan 17 08:25:55 GMT 2023","Tue Jan 17 08:26:03 GMT 2023","7736","ui_tests","test_cases_page","TestCasesPage","","","User can see the 5 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:25:54 GMT 2023","Tue Jan 17 08:25:57 GMT 2023","3155","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Tue Jan 17 08:24:46 GMT 2023","Tue Jan 17 08:24:49 GMT 2023","2857","ui_tests","test_cases_page","TestCasesPage","","","User can see the 7 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Tue Jan 17 08:25:44 GMT 2023","Tue Jan 17 08:25:51 GMT 2023","7345","ui_tests","test_cases_page","TestCasesPage","","","User can see the 4 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:24:50 GMT 2023","Tue Jan 17 08:24:52 GMT 2023","2831","ui_tests","test_cases_page","TestCasesPage","","","User can see the 3 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Tue Jan 17 08:26:18 GMT 2023","Tue Jan 17 08:26:25 GMT 2023","7500","ui_tests","test_cases_page","TestCasesPage","","","User can see the 7 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:27:19 GMT 2023","Tue Jan 17 08:27:22 GMT 2023","2801","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""t.me/fojin_tech"" link","
        user can go to all bottom links from the main page
        "
"passed","Tue Jan 17 08:26:29 GMT 2023","Tue Jan 17 08:26:32 GMT 2023","3700","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""contacts"" link","
        user can go to all top links from the main page
        "
"passed","Tue Jan 17 08:26:06 GMT 2023","Tue Jan 17 08:26:10 GMT 2023","3706","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"passed","Tue Jan 17 08:26:53 GMT 2023","Tue Jan 17 08:26:55 GMT 2023","2356","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"passed","Tue Jan 17 08:25:47 GMT 2023","Tue Jan 17 08:25:50 GMT 2023","2884","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Tue Jan 17 08:26:01 GMT 2023","Tue Jan 17 08:26:04 GMT 2023","3034","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Tue Jan 17 08:27:11 GMT 2023","Tue Jan 17 08:27:15 GMT 2023","3808","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""vk.com/fojin"" link","
        user can go to all bottom links from the main page
        "
"passed","Tue Jan 17 08:27:03 GMT 2023","Tue Jan 17 08:27:08 GMT 2023","4824","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""t.me/fojin_tech"" link","
        user can go to all bottom links from the main page
        "
"passed","Tue Jan 17 08:26:04 GMT 2023","Tue Jan 17 08:26:05 GMT 2023","766","ui_tests","test_main_page","TestMainPage","","","The server is alive","
        server is alive
        "
"passed","Tue Jan 17 08:26:35 GMT 2023","Tue Jan 17 08:26:38 GMT 2023","2876","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"passed","Tue Jan 17 08:26:11 GMT 2023","Tue Jan 17 08:26:15 GMT 2023","3756","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""about-us"" link","
        user can go to all top links from the main page
        "
"passed","Tue Jan 17 08:26:54 GMT 2023","Tue Jan 17 08:26:56 GMT 2023","2559","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""cases"" link","
        user can go to all top links from the main page
        "
"passed","Tue Jan 17 08:25:29 GMT 2023","Tue Jan 17 08:25:33 GMT 2023","3636","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
